year,population,geboorte,da_c_ca_s,immigration,emigration,sterfte,solde_migratoire,solde_total
2019,192380,2997,1179,22526,22023,1818,502,2320
2020,194701,2968,1179,22650,22164,1789,486,2275
2021,196978,2936,1179,22781,22303,1756,478,2235
2023,201407,2868,1182,23042,22576,1686,466,2152
2016,183704,3020,1184,22820,21265,1835,1555,3391
2017,187095,3031,1182,22660,21604,1849,1055,2904
2024,203562,2838,1184,23185,22694,1653,490,2144
2012,166312,2784,1196,22371,19167,1588,3203,4792
2013,171105,2868,1188,22657,19792,1680,2865,4544
2015,179875,2988,1186,22873,20847,1802,2026,3828
2018,190000,3021,1180,22397,21859,1841,538,2379
2014,175650,2937,1187,22823,20349,1749,2474,4224
2022,199215,2902,1180,22906,22437,1722,468,2190
